PIFElement{token='0', position=<97, 0>}
PIFElement{token='->', position=<-1, -1>}
PIFElement{token='integer', position=<-1, -1>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='0', position=<98, 0>}
PIFElement{token='->', position=<-1, -1>}
PIFElement{token='integer', position=<-1, -1>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='0', position=<99, 0>}
PIFElement{token='->', position=<-1, -1>}
PIFElement{token='integer', position=<-1, -1>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='Read', position=<-1, -1>}
PIFElement{token='0', position=<97, 0>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='Read', position=<-1, -1>}
PIFElement{token='0', position=<98, 0>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='If', position=<-1, -1>}
PIFElement{token='0', position=<97, 0>}
PIFElement{token='<', position=<-1, -1>}
PIFElement{token='0', position=<98, 0>}
PIFElement{token='then', position=<-1, -1>}
PIFElement{token='0', position=<99, 0>}
PIFElement{token='<-', position=<-1, -1>}
PIFElement{token='0', position=<98, 0>}
PIFElement{token='0', position=<137, 0>}
PIFElement{token='0', position=<99, 0>}
PIFElement{token='->', position=<-1, -1>}
PIFElement{token='0', position=<97, 0>}
PIFElement{token=';', position=<-1, -1>}
PIFElement{token='Write', position=<-1, -1>}
PIFElement{token='0', position=<99, 0>}
PIFElement{token=';', position=<-1, -1>}
