( a*(a+a)$ , S$ ,  )
( a*(a+a)$ , BA$ , 1 )
( a*(a+a)$ , DCA$ , 14 )
( a*(a+a)$ , aCA$ , 148 )
( *(a+a)$ , CA$ , 148 )
( *(a+a)$ , *DCA$ , 1485 )
( (a+a)$ , DCA$ , 1485 )
( (a+a)$ , (S)CA$ , 14857 )
( a+a)$ , S)CA$ , 14857 )
( a+a)$ , BA)CA$ , 148571 )
( a+a)$ , DCA)CA$ , 1485714 )
( a+a)$ , aCA)CA$ , 14857148 )
( +a)$ , CA)CA$ , 14857148 )
( +a)$ , epsilonA)CA$ , 148571486 )
( +a)$ , +BA)CA$ , 1485714862 )
( a)$ , BA)CA$ , 1485714862 )
( a)$ , DCA)CA$ , 14857148624 )
( a)$ , aCA)CA$ , 148571486248 )
( )$ , CA)CA$ , 148571486248 )
( )$ , epsilonA)CA$ , 1485714862486 )
( )$ , epsilon)CA$ , 14857148624863 )
( $ , CA$ , 14857148624863 )
( $ , epsilonA$ , 148571486248636 )
( $ , epsilon$ , 1485714862486363 )
( $ , $ , 1485714862486363 )
